2Theta,Intensity
20.83,7
20.849999999999998,6
20.869999999999997,10
20.889999999999997,11
20.909999999999997,15
20.93,10
20.949999999999996,10
20.97,10
20.989999999999995,3
21.009999999999998,14
21.029999999999994,8
21.049999999999997,8
21.07,17
21.089999999999996,6
21.11,9
21.129999999999995,6
21.15,8
21.169999999999995,4
21.189999999999998,8
21.21,7
21.229999999999997,8
21.25,9
21.269999999999996,8
21.29,8
21.309999999999995,7
21.33,7
21.349999999999994,7
21.369999999999997,13
21.39,11
21.409999999999997,14
21.43,6
21.449999999999996,6
21.47,5
21.489999999999995,10
21.509999999999998,10
21.529999999999994,8
21.549999999999997,8
21.57,7
21.589999999999996,6
21.61,11
21.629999999999995,8
21.65,10
21.669999999999995,8
21.689999999999998,9
21.709999999999994,12
21.729999999999997,8
21.75,8
21.769999999999996,12
21.79,7
21.809999999999995,13
21.83,7
21.849999999999994,12
21.869999999999997,18
21.89,5
21.909999999999997,13
21.93,6
21.949999999999996,3
21.97,12
21.989999999999995,10
22.009999999999998,10
22.029999999999994,7
22.049999999999997,17
22.07,10
22.089999999999996,6
22.11,5
22.129999999999995,8
22.15,5
22.169999999999995,9
22.189999999999998,9
22.209999999999994,12
22.229999999999997,12
22.25,11
22.269999999999996,7
22.29,10
22.309999999999995,12
22.33,13
22.349999999999994,12
22.369999999999997,9
22.39,10
22.409999999999997,19
22.43,10
22.449999999999996,13
22.47,10
22.489999999999995,17
22.509999999999998,9
22.529999999999994,15
22.549999999999997,24
22.57,26
22.589999999999996,18
22.61,26
22.629999999999995,25
22.65,63
22.669999999999995,125
22.689999999999998,275
22.709999999999994,1293
22.729999999999997,27878
22.75,77527
22.769999999999996,12446
22.79,613
22.809999999999995,198
22.83,124
22.849999999999994,70
22.869999999999997,44
22.89,22
22.909999999999997,29
22.93,15
22.949999999999996,15
22.97,15
22.989999999999995,19
23.009999999999998,12
23.029999999999994,7
23.049999999999997,13
23.07,8
23.089999999999996,10
23.11,12
23.129999999999995,11
23.15,13
23.169999999999995,14
23.189999999999998,11
23.209999999999994,9
23.229999999999997,13
23.25,8
23.269999999999996,10
23.29,8
23.309999999999995,13
23.33,11
23.349999999999994,10
23.369999999999997,6
23.389999999999993,9
23.409999999999997,5
23.43,10
23.449999999999996,11
23.47,10
23.489999999999995,14
23.509999999999998,8
23.529999999999994,7
23.549999999999997,9
23.57,7
23.589999999999996,12
23.61,10
23.629999999999995,7
23.65,7
23.669999999999995,10
23.689999999999998,7
23.709999999999994,11
23.729999999999997,10
23.75,9
23.769999999999996,11
23.79,5
23.809999999999995,9
23.83,9
23.849999999999994,14
23.869999999999997,11
23.889999999999993,8
23.909999999999997,7
23.93,9
23.949999999999996,10
23.97,8
23.989999999999995,10
24.009999999999998,7
24.029999999999994,3
24.049999999999997,5
24.07,14
24.089999999999996,7
24.11,6
24.129999999999995,12
24.15,9
24.169999999999995,5
24.189999999999998,9
24.209999999999994,7
24.229999999999997,9
24.25,5
24.269999999999996,6
24.29,10
24.309999999999995,10
24.33,8
24.349999999999994,7
24.369999999999997,15
24.389999999999993,9
24.409999999999997,10
24.43,4
24.449999999999996,7
24.47,6
24.489999999999995,6
24.509999999999998,6
24.529999999999994,8
24.549999999999997,12
24.57,12
24.589999999999996,6
24.61,5
24.629999999999995,4
24.65,9
24.669999999999995,7
24.689999999999998,8
24.709999999999994,8
24.729999999999997,10
24.75,6
24.769999999999996,8
24.79,9
24.809999999999995,9
24.83,10
24.849999999999994,7
24.869999999999997,11
24.889999999999993,10
24.909999999999997,10
24.93,4
24.949999999999996,13
24.97,13
24.989999999999995,9
25.009999999999998,2
25.029999999999994,8
25.049999999999997,6
25.069999999999993,10
25.089999999999996,10
25.11,9
25.129999999999995,12
25.15,7
25.169999999999995,3
25.189999999999998,6
25.209999999999994,9
25.229999999999997,10
25.25,5
25.269999999999996,6
25.29,8
25.309999999999995,4
25.33,4
25.349999999999994,4
25.369999999999997,5
25.389999999999993,10
25.409999999999997,10
25.43,9
25.449999999999996,5
25.47,3
25.489999999999995,10
25.509999999999998,8
25.529999999999994,10
25.549999999999997,8
25.569999999999993,9
25.589999999999996,9
25.61,6
25.629999999999995,10
25.65,3
25.669999999999995,5
25.689999999999998,10
25.709999999999994,5
25.729999999999997,7
25.75,8
25.769999999999996,10
25.79,7
25.809999999999995,12
25.83,7
25.849999999999994,9
25.869999999999997,3
25.889999999999993,8
25.909999999999997,7
25.93,10
25.949999999999996,8
25.97,8
25.989999999999995,3
26.009999999999998,9
26.029999999999994,10
26.049999999999997,7
26.069999999999993,9
