Up field,Down field,Rxx,+Rxy,-Rxy
-42100.0,42100.0,830.3832260367858,-0.9403451063487225,0.9403451063487225
-42050.0,42050.0,830.3835261831384,-0.9402873970417929,0.9402873970417929
-42000.0,42000.0,830.3838263294908,-0.9402296877348633,0.9402296877348633
-41950.0,41950.0,830.3845679569384,-0.9400633471167623,0.9400633471167623
-41900.0,41900.0,830.3853131517274,-0.9398961287148211,0.9398961287148211
-41850.0,41850.0,830.3860583465164,-0.9397289103128834,0.9397289103128834
-41800.0,41800.0,830.3868035413054,-0.9395616919109422,0.9395616919109422
-41750.0,41750.0,830.3875487360942,-0.9393944735090045,0.9393944735090045
-41700.0,41700.0,830.3882939308833,-0.9392272551070633,0.9392272551070633
-41650.0,41650.0,830.3890391256723,-0.9390600367051221,0.9390600367051221
-41600.0,41600.0,830.3897843204612,-0.9388928183031844,0.9388928183031844
-41550.0,41550.0,830.3905295152501,-0.9387255999012432,0.9387255999012432
-41500.0,41500.0,830.3912747100392,-0.9385583814993019,0.9385583814993019
-41450.0,41450.0,830.3920199048281,-0.9383911630973643,0.9383911630973643
-41400.0,41400.0,830.392765099617,-0.938223944695423,0.938223944695423
-41350.0,41350.0,830.393510294406,-0.9380567262934854,0.9380567262934854
-41300.0,41300.0,830.3942554891951,-0.9378895078915441,0.9378895078915441
-41250.0,41250.0,830.3950006839839,-0.9377222894896029,0.9377222894896029
-41200.0,41200.0,830.3957458787729,-0.9375550710876652,0.9375550710876652
-41150.0,41150.0,830.396491073562,-0.937387852685724,0.937387852685724
-41100.0,41100.0,830.3972362683509,-0.9372206342837863,0.9372206342837863
-41050.0,41050.0,830.3979814631398,-0.9370534158818451,0.9370534158818451
-41000.0,41000.0,830.3987266579288,-0.9368861974799039,0.9368861974799039
-40950.0,40950.0,830.3994718527177,-0.9367189790779662,0.9367189790779662
-40900.0,40900.0,830.4002170475067,-0.936551760676025,0.936551760676025
-40850.0,40850.0,830.400891397403,-0.9363939515397135,0.9363939515397135
-40800.0,40800.0,830.4012994237128,-0.9362715141751643,0.9362715141751643
-40750.0,40750.0,830.4017074500224,-0.9361490768106151,0.9361490768106151
-40700.0,40700.0,830.402115476332,-0.9360266394460659,0.9360266394460659
-40650.0,40650.0,830.4025235026418,-0.9359042020815167,0.9359042020815167
-40600.0,40600.0,830.4029315289513,-0.9357817647169675,0.9357817647169675
