Theta2,Intensity
10.43,25.5681818181818
10.45,62.5
10.47,25.5681818181818
10.49,17.0454545454545
10.51,39.7727272727273
10.53,28.4090909090909
10.55,31.25
10.57,25.5681818181818
10.59,28.4090909090909
10.61,45.4545454545455
10.63,14.2045454545455
10.65,17.0454545454545
10.67,22.7272727272727
10.69,31.25
10.71,28.4090909090909
10.73,48.2954545454545
10.75,25.5681818181818
10.77,39.7727272727273
10.79,36.9318181818182
10.81,31.25
10.83,19.8863636363636
10.85,11.3636363636364
10.87,36.9318181818182
10.89,34.0909090909091
10.91,53.9772727272727
10.93,45.4545454545455
10.95,39.7727272727273
10.97,22.7272727272727
10.99,28.4090909090909
11.01,31.25
11.03,36.9318181818182
11.05,25.5681818181818
11.07,14.2045454545455
11.09,39.7727272727273
11.11,28.4090909090909
11.13,34.0909090909091
11.15,28.4090909090909
11.17,22.7272727272727
11.19,17.0454545454545
11.21,34.0909090909091
11.23,36.9318181818182
11.25,36.9318181818182
11.27,22.7272727272727
11.29,39.7727272727273
11.31,19.8863636363636
11.33,28.4090909090909
11.35,25.5681818181818
11.37,19.8863636363636
11.39,28.4090909090909
11.41,42.6136363636364
11.43,34.0909090909091
11.45,34.0909090909091
11.47,17.0454545454545
11.49,28.4090909090909
11.51,14.2045454545455
11.53,22.7272727272727
11.55,22.7272727272727
11.57,25.5681818181818
11.59,45.4545454545455
11.61,22.7272727272727
11.63,14.2045454545455
11.65,45.4545454545455
11.67,34.0909090909091
11.69,14.2045454545455
11.71,17.0454545454545
11.73,34.0909090909091
11.75,19.8863636363636
11.77,17.0454545454545
11.79,28.4090909090909
11.81,25.5681818181818
11.83,28.4090909090909
11.85,22.7272727272727
11.87,28.4090909090909
11.89,34.0909090909091
11.91,25.5681818181818
11.93,28.4090909090909
11.95,28.4090909090909
11.97,28.4090909090909
11.99,28.4090909090909
12.01,28.4090909090909
12.03,31.25
12.05,25.5681818181818
12.07,25.5681818181818
12.09,25.5681818181818
12.11,28.4090909090909
12.13,51.1363636363636
12.15,45.4545454545455
12.17,19.8863636363636
12.19,31.25
12.21,31.25
12.23,25.5681818181818
12.25,53.9772727272727
12.27,25.5681818181818
12.29,25.5681818181818
12.31,19.8863636363636
12.33,25.5681818181818
12.35,25.5681818181818
12.37,31.25
12.39,42.6136363636364
12.41,31.25
12.43,25.5681818181818
12.45,42.6136363636364
12.47,19.8863636363636
12.49,48.2954545454545
12.51,19.8863636363636
12.53,45.4545454545455
12.55,36.9318181818182
12.57,31.25
12.59,34.0909090909091
12.61,25.5681818181818
12.63,48.2954545454545
12.65,51.1363636363636
12.67,34.0909090909091
12.69,48.2954545454545
12.71,17.0454545454545
12.73,31.25
12.75,25.5681818181818
12.77,25.5681818181818
12.79,28.4090909090909
12.81,28.4090909090909
12.83,36.9318181818182
12.85,39.7727272727273
12.87,25.5681818181818
12.89,36.9318181818182
12.91,36.9318181818182
12.93,14.2045454545455
12.95,17.0454545454545
12.97,28.4090909090909
12.99,19.8863636363636
13.01,5.68181818181818
13.03,17.0454545454545
13.05,42.6136363636364
13.07,59.6590909090909
13.09,36.9318181818182
13.11,19.8863636363636
13.13,31.25
13.15,19.8863636363636
13.17,25.5681818181818
13.19,22.7272727272727
13.21,56.8181818181818
13.23,31.25
13.25,19.8863636363636
13.27,34.0909090909091
13.29,36.9318181818182
13.31,48.2954545454545
13.33,34.0909090909091
13.35,19.8863636363636
13.37,25.5681818181818
13.39,14.2045454545455
13.41,25.5681818181818
13.43,28.4090909090909
13.45,28.4090909090909
13.47,28.4090909090909
13.49,28.4090909090909
13.51,28.4090909090909
13.53,31.25
13.55,28.4090909090909
13.57,34.0909090909091
13.59,36.9318181818182
13.61,17.0454545454545
13.63,34.0909090909091
13.65,45.4545454545455
13.67,51.1363636363636
13.69,25.5681818181818
13.71,22.7272727272727
13.73,19.8863636363636
13.75,42.6136363636364
13.77,31.25
13.79,31.25
13.81,34.0909090909091
13.83,28.4090909090909
13.85,25.5681818181818
13.87,11.3636363636364
13.89,39.7727272727273
13.91,31.25
13.93,22.7272727272727
13.95,28.4090909090909
13.97,36.9318181818182
13.99,25.5681818181818
14.01,25.5681818181818
14.03,17.0454545454545
14.05,36.9318181818182
14.07,19.8863636363636
14.09,31.25
14.11,31.25
14.13,36.9318181818182
14.15,45.4545454545455
14.17,8.52272727272727
14.19,11.3636363636364
14.21,25.5681818181818
